Id,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StraightnessError,Slant,LoopSurface,AveragePenPressure,AverageAbsoluteVelocity,label
101-300,2.293,2.854,2.122,4.488,2.976,5.976,2.854,2.293,1.024,2.39,3.488,1
101-301,3.146,3.188,3.281,3.885,4.104,6.146,2.938,3.208,1.01,2.083,3.135,1
101-302,2.209,2.837,2.628,3.442,3.721,11.14,2.488,2.256,1.023,2.047,3.279,1
101-303,2.444,2.704,2.185,4,4.926,7.352,2.278,3.074,1.019,2.13,2.852,0
101-304,3.535,3.039,5.803,6.126,14.181,16.031,2.717,3.386,1.008,1.976,3.85,0
101-305,3.671,3.288,3.658,6.767,5.397,5.288,2.658,2.849,1.014,1.973,3.425,1
101-306,2.634,3.366,6.134,3.976,4.244,28.402,2.768,3.317,1.012,1.866,3.012,0
101-307,3.258,3.621,2.652,3.136,3.758,11.091,3.227,2.97,1.015,3.515,4.212,0
101-400,3.336,3.017,7.866,7.815,4.588,4.244,3.303,3.294,1.008,1.941,3.639,0
101-401,3.087,3.262,5.786,3.816,4.874,124.233,2.971,3.544,1.01,2.553,4.068,0
101-402,2.975,3.333,2.21,4.938,6.864,14.605,2.852,3.123,1.012,2.358,3.753,0
101-403,2.024,2.488,2.293,4.878,2.927,3.317,2.22,2.415,1.024,6.951,4.488,0
101-500,1.692,1.692,2.308,2.769,2.692,3.077,1.538,2.154,1.077,2.769,2.692,0
101-501,2.495,4.227,8.082,4.67,4.711,13.041,2.938,3.691,1.01,3.381,4.062,0
101-502,2.598,3.647,4.353,4.657,5.284,6.794,3.02,3.637,1.01,2.912,5.559,0
101-503,3.095,2.698,3.841,9.032,21.937,58.222,2.556,2.651,1.016,2.254,3.286,0
101-504,3.345,3.591,2.8,5.327,4.8,13.355,3.345,3.445,1.009,2.591,4.382,0
102-300,3.365,4.045,3.846,5.276,3.994,97.859,4.115,3.821,1.006,2.288,4.244,1
102-301,3.156,2.333,9.133,9.8,13.311,12.378,1.778,2.711,1.022,1.822,3.111,0
102-400,2.8,3.4,2.317,3.233,3.917,10.35,2.75,2.95,1.017,2.767,4.367,0
102-401,1.864,2.455,3.409,2,2.636,1.864,2.091,2.045,172.455,2.136,3.591,0
102-402,3.371,3.155,2.082,5.082,8.876,16.258,2.856,3.464,1.01,2.052,2.99,0
102-403,3.577,4.185,5.815,4.746,4.562,6.685,3.823,3.423,1.008,3.131,3.969,0
102-404,2.916,4.486,2.72,6.402,3.869,5.832,2.757,3.43,1.009,2.28,3.832,0
102-405,2.903,3.065,2.645,2.968,3.032,1.871,2.097,2.065,1.032,2,2.484,1
102-500,2.484,3.615,2.857,4.418,8.473,45.527,3.319,2.923,1.011,2.407,4.198,0
103-300,2.616,2.818,5.485,6.364,4.303,3.798,2.576,3.121,1.01,3.626,3.465,0
103-301,2.571,1.857,11.905,6.048,2.333,2,1.905,2.381,1.048,1.476,2.524,0
103-302,1.7,2.5,19.05,2.9,1.95,2.85,1.7,2.25,73.9,1.45,2.45,0
103-303,2.791,3.505,2.385,4.495,4.011,4.868,2.352,3,1.011,2.879,3.341,0
103-304,2.656,2.281,2.844,3.938,2.312,4.156,2.594,2.688,4483.438,1.531,2.438,1
103-305,2.358,3.448,17.955,3.791,4.284,6.612,2.597,3,4253.522,1.851,2.463,0
103-306,2.706,4.979,4.923,6.042,4.35,45.986,2.811,3.692,1922.091,3.392,3.524,0
103-400,2.798,3.223,8.138,4.117,2.947,2.904,2.862,4.181,1.011,2.734,4.085,0
103-401,3.676,3.991,3.333,7.288,7.393,8.571,3.47,3.763,1.005,2.479,4.667,0
103-402,3.7,5.3,2.525,6.823,5.848,12.839,3.659,4.166,1.005,3.756,4.848,0
103-403,2.444,4.283,25.263,15.737,6.061,7.313,2.677,3.646,1.01,2.869,4.434,0
103-404,2.725,4.463,22.987,5.02,4.765,17.738,2.826,3.812,1.007,3.839,6.302,0
103-405,2.701,3.635,1.861,4.474,3.971,9.803,2.832,3.095,1.007,2.511,4.197,1
104-300,3.084,4.295,3.116,3.621,3.253,3.4,3.568,2.863,628.853,2.853,4.126,1
104-301,2.545,2.848,2.182,2.758,1.758,6.091,2.061,1.909,1.03,2,3.606,1
104-302,2.723,3.883,3.436,4.394,4.564,4.84,2.649,3.011,1.011,2.457,4.149,0
104-303,3.442,4.525,3.85,5.233,5.7,17.542,3.3,3.5,389.45,2.167,4.142,0
