Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
1,1,0.04,0.0612,7.9084,0.026,0.6721,22.0367,0.9208,-0.0413,0.0732,2.5358,0,0,0.5855,1,0,0,0,0.0489,0.8852,0.0542,370.7714,4.9711,38.0475,477.9057,6.4074,53.8354,3,1,558.428571,1,7
1,2,0.1012,0.5538,7.9345,-1.0915,-3.2502,-60.8866,0.8795,-0.0379,0.1041,-1.1669,0,-1.4834,0.2726,1,0,0,0,1.0922,2.9765,1.6485,604.4389,89.3249,38.0475,992.5483,146.6803,53.8354,3,8,622.709091,1,7
1,3,0.655,0.213,6.8425,1.2186,9.1497,202.0316,0.8416,-0.1027,0.0406,1.5807,-0.152,0.4632,0.3412,0.1429,0,0,0,1.2229,6.2217,1.3249,2357.2356,28.5232,38.0475,2551.5794,30.8748,53.8354,3,4,47.904762,1,7
1,4,0.868,0.078,8.0608,-0.1095,-2.4193,-221.1968,0.7389,-0.0777,0.1035,-2.1121,-0.0014,0,0.3626,0,0,0,0,0.1343,2.164,0.1687,1156.1059,10.3345,38.0475,1442.639,12.8958,53.8354,3,1,0,1,7
1,5,0.9459,0.2362,7.9515,0.2089,1.6151,13.7877,0.6612,-0.0705,0.0572,1.6461,0,0.2443,0.583,0,0,0,0,0.2205,1.157,0.2733,351.2748,30.5563,38.0475,542.4648,47.1873,53.8354,3,2,0,1,7
1,6,1.1822,0.2505,8.1605,-0.2497,-2.9762,-84.522,0.5907,0.1258,0.0727,-1.0937,0,-0.7959,0.8222,0.52,0,0,0,0.2796,1.4782,0.3703,1018.3241,80.8855,38.0475,1131.1672,89.8486,53.8354,3,2,202.88,1,7
1,7,1.4327,0.2173,7.9108,0.3173,3.1189,98.4603,0.7165,0.3076,0.0767,0.8273,0,-0.3005,0.2219,1,0,0,0,0.4419,2.5366,0.5513,617.0182,21.7372,38.0475,1219.239,42.9531,53.8354,3,2,557.285714,1,7
2,1,0.01,0.2173,5.4198,-0.3764,-3.0377,-74.0624,1.1503,-0.2332,0.1736,-2.5061,0,-0.283,0.266,1,0,0,0,0.4428,3.9846,0.866,829.4379,29.1661,66.5043,1743.4441,61.3059,95.613,2.5,4,633.181818,2,12
2,2,0.2273,0.4168,5.0435,0.4392,3.4398,49.9673,0.9171,0.3004,0.086,1.1286,0,-0.6749,0.223,1,0,0,0,0.5321,1.5645,0.652,532.3947,79.3362,66.5043,736.3668,109.7316,95.613,2.5,6,738.5,2,12
2,3,0.6441,0.1756,5.4828,-0.2407,-2.2638,-43.4488,1.2175,0.3494,0.0232,-0.6541,0.0003,-0.1782,0.4777,1,0,0,0,0.4243,2.4835,0.436,326.887,7.0367,66.5043,463.1936,9.9709,95.613,2.5,2,767.647059,2,12
2,4,0.8197,0.4326,5.242,0.7766,3.3942,86.2516,1.5669,0.0342,0.1876,2.386,0,-1.6137,0.2923,0.8409,0,0,0,0.7774,4.0964,1.7722,1084.507,121.4405,66.5043,2172.5734,243.2795,95.613,2.5,3,652.431818,2,12
2,5,1.2523,0.2014,6.0186,-0.2893,-2.741,-55.9844,1.6011,-0.2925,0.0732,-2.4745,-0.0802,0.749,0.3153,0,0,0,0,0.4114,2.9131,0.5867,615.8037,19.2626,66.5043,817.3385,25.5667,95.613,2.5,3,0,2,12
2,6,1.4537,0.5624,5.7292,0.501,2.4138,67.5209,1.3086,-0.4429,0.0443,2.3197,0,-0.0677,0.7514,0,0,0,0,0.6687,1.4133,0.7949,1317.1277,330.4359,66.5043,1506.9594,378.0601,95.613,2.5,7,0,2,12
2,7,2.0161,0.1821,6.2306,-0.3712,-4.4445,-147.3357,0.8658,0.2715,0.0371,-0.8176,-0.0034,-0.1512,0.2374,0,0,0,0,0.4598,3.1236,0.5689,1274.4605,27.7383,66.5043,1527.2474,33.2401,95.613,2.5,3,0,2,12
