Trial,Segment,StartTime,Duration,StartVerticalPosition,VerticalSize,PeakVerticalVelocity,PeakVerticalAcceleration,StartHorizontalPosition,HorizontalSize,StraightnessError,Slant,LoopSurface,RelativeInitialSlant,RelativeTimeToPeakVerticalVelocity,RelativePenDownDuration,RelativeDurationofPrimary,RelativeSizeofPrimary,FrequencyofSecondary,AbsoluteSize,AverageAbsoluteVelocity,Roadlength,AbsoluteyJerk,NormalizedyJerk,AverageNormalizedyJerkPerTrial,AbsoluteJerk,NormalizedJerk,AverageNormalizedJerkPerTrial,Score,NumberOfPeakAccelerationPoints,AveragePenPressure,TrialSeq,NumOfStrokes
1,1,0,0.108,14.0547,0.1269,1.8004,39.2578,20.7715,-0.4961,0.0171,2.8509,0,-0.0811,0.5199,1,0,0,0,0.5121,4.7809,0.5165,386.0301,2.0447,42.8716,669.4464,3.5458,69.8848,3,1,1300.227273,1,4
1,2,0.108,0.7177,14.1816,-4.0348,-9.1779,-84.2809,20.2754,0.7124,0.142,-1.3775,0,-1.5166,0.2152,1,0,0,0,4.0972,8.8707,6.3669,831.315,62.6161,42.8716,1512.5847,113.9305,69.8848,3,10,2320.291667,1,4
1,3,0.8258,0.8601,10.1468,4.7221,10.8992,89.1666,20.9878,0.8794,0.1562,1.4742,0,-1.4161,0.3907,1,0,0,0,4.8032,8.7491,7.5247,919.7752,92.8843,42.8716,1292.0681,130.4806,69.8848,3,12,4165.261628,1,4
1,4,1.6858,0.3742,14.8688,-1.0319,-5.0851,-33.2741,21.8672,-2.3967,0.0176,-2.7096,19.0495,-0.2622,0.7906,1,0,0,0,2.6094,7.0479,2.6371,600.7389,13.9415,42.8716,1360.8874,31.5824,69.8848,3,5,3848.702703,1,4
2,1,0.005,0.1532,23.5779,0.1109,1.0583,19.4387,17.9599,-0.3312,0.0338,2.7413,0,-0.3379,0.7258,1,0,0,0,0.3493,2.3526,0.3605,308.7455,5.7445,113.4704,618.2415,11.503,215.408,2.5,1,1798.774194,2,16
2,2,0.1582,1.0363,23.6889,-6.0798,-12.8155,-133.6359,17.6287,0.4783,0.1529,-1.4757,0,-1.4171,0.2403,1,0,0,0,6.0986,9.2449,9.5805,1607.9699,203.8229,113.4704,2529.1818,320.5938,215.408,2.5,11,3807.89372,2,16
2,3,1.1945,0.6095,17.6091,3.8642,12.3682,72.8851,18.107,2.7428,0.0702,1.0619,0,-0.9455,0.4532,1,0,0,0,4.7387,8.7779,5.3504,942.9537,40.8144,113.4704,1211.1268,52.4219,215.408,2.5,8,4944.516393,2,16
2,4,1.8041,0.5908,21.4733,-2.099,-9.1536,-106.9471,20.8498,-0.3305,0.0382,-1.7063,0.0396,-0.9096,0.6621,0.0508,0,0,0,2.1248,4.0239,2.3775,2344.4321,209.355,113.4704,3687.9575,329.3303,215.408,2.5,12,122.754237,2,16
2,5,2.3949,0.728,19.3743,4.5092,12.1397,94.9649,20.5193,-2.9031,0.0265,2.2127,0.0092,-0.936,0.3362,0,0,0,0,5.3629,7.686,5.5957,1730.8549,103.2128,113.4704,3225.8459,192.3608,215.408,2.5,9,0,2,16
2,6,3.123,0.4173,23.8834,-0.814,-5.4948,-65.8158,17.6163,0.4889,0.0453,-0.8959,0,-0.387,0.4957,0.4881,0,0,0,0.9495,2.6978,1.1258,873.508,73.1796,113.4704,1125.9393,94.3275,215.408,2.5,5,640.166667,2,16
2,7,3.5403,0.3599,23.0694,0.2189,2.1988,63.7602,18.1051,-0.225,0.0911,2.8399,-0.1896,-0.1184,0.1377,0.5417,0,0,0,0.3139,2.7563,0.9919,536.0543,93.8242,113.4704,1661.0296,290.7256,215.408,2.5,7,1150.972222,2,16
